symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
ACB,2025-03-11,21853.215,2025-04-03,20880.72,SL,-4.4501,-88497.04
VCB,2025-04-03,63122.445,2025-04-04,60304.82,SL,-4.4637,-87346.38
TCB,2025-04-03,26071.25,2025-04-04,24277.5,SL,-6.8802,-136325.0
STB,2025-04-03,36991.07,2025-04-09,34053.57,SL,-7.9411,-155687.5
VIX,2025-04-08,10871.25,2025-05-21,12920.0,TP,18.8456,370823.75
VND,2025-04-08,13447.145,2025-06-03,16024.29,TP,19.165,376263.17
VCI,2025-04-08,34957.145000000004,2025-07-14,40504.29,TP,15.8684,310640.12
VNM,2025-08-22,56623.75,2025-09-17,62660.0,TP,10.6603,217305.0
VHM,2025-10-20,108307.14499999999,2025-11-10,90357.15,SL,-16.5732,-341049.91
VNM,2025-10-20,56747.68,2025-11-28,64272.86,TP,13.2608,270906.48
MBB,2025-12-12,24091.965,2026-01-12,27971.43,TP,16.1027,329754.52
VNM,2025-12-12,61030.535,2026-01-15,69718.57,TP,14.2356,286705.16
VHM,2026-01-13,129017.85500000001,2026-01-28,103392.85,SL,-19.8616,-410000.08
MWG,2025-11-04,78587.5,2026-01-30,93300.0,TP,18.7212,367812.5
