date,total_value,cash,open_positions_value
2025-02-03,20025080.0,16005350.0,4019730.0
2025-02-04,20094740.0,16005350.0,4089390.0
2025-02-05,20103860.0,16005350.0,4098510.0
2025-02-06,20153630.0,16005350.0,4148280.0
2025-02-07,20213750.0,16005350.0,4208400.0
2025-02-10,20301910.0,18275270.0,2026640.0
2025-02-11,20305670.0,18275270.0,2030400.0
2025-02-12,20289690.0,18275270.0,2014420.0
2025-02-13,20293450.0,18275270.0,2018180.0
2025-02-14,20297210.0,18275270.0,2021940.0
2025-02-17,20300790.0,14241050.0,6059740.0
2025-02-18,20325840.0,14241050.0,6084790.0
2025-02-19,20355840.0,14241050.0,6114790.0
2025-02-20,20401520.0,14241050.0,6160470.0
2025-02-21,20423360.0,14241050.0,6182310.0
2025-02-24,20459970.0,12203300.0,8256670.0
2025-02-25,20412000.0,12203300.0,8208700.0
2025-02-26,20356540.0,12203300.0,8153240.0
2025-02-27,20388800.0,12203300.0,8185500.0
2025-02-28,20351310.0,12203300.0,8148010.0
2025-03-03,20490490.0,10184010.0,10306480.0
2025-03-04,20608900.0,10184010.0,10424890.0
2025-03-05,20549750.0,10184010.0,10365740.0
2025-03-06,20678710.0,10184010.0,10494700.0
2025-03-07,20756360.0,12345610.0,8410750.0
2025-03-10,20785950.0,14469160.0,6316790.0
2025-03-11,20796120.0,14469160.0,6326960.0
2025-03-12,20749560.0,14469160.0,6280400.0
2025-03-13,20686580.0,14469160.0,6217420.0
2025-03-14,20659250.0,14469160.0,6190090.0
2025-03-17,20808700.0,12441960.0,8366740.0
2025-03-18,20764940.0,14571560.0,6193380.0
2025-03-19,20731030.0,14571560.0,6159470.0
2025-03-20,20753100.0,14571560.0,6181540.0
2025-03-21,20728570.0,14571560.0,6157010.0
2025-03-24,20745660.0,14571560.0,6174100.0
2025-03-25,20748160.0,14571560.0,6176600.0
2025-03-26,20760620.0,14571560.0,6189060.0
2025-03-27,20714900.0,12502700.0,8212200.0
2025-03-28,20703850.0,12502700.0,8201150.0
2025-03-31,20660220.0,12502700.0,8157520.0
2025-04-01,20778240.0,12502700.0,8275540.0
2025-04-02,20758950.0,12502700.0,8256250.0
2025-04-03,19990220.0,6390860.0,13599360.0
2025-04-04,19643170.0,17600850.0,2042320.0
2025-04-07,19643170.0,17600850.0,2042320.0
2025-04-08,19425100.0,13692200.0,5732900.0
2025-04-09,19084260.0,15515560.0,3568700.0
2025-04-10,19325210.0,15515560.0,3809650.0
2025-04-11,19579160.0,15515560.0,4063600.0
2025-04-14,19851160.0,15515560.0,4335600.0
2025-04-15,19850460.0,17742160.0,2108300.0
2025-04-16,19879460.0,17742160.0,2137300.0
2025-04-17,19907010.0,17742160.0,2164850.0
2025-04-18,19963560.0,19963560.0,0
2025-04-21,20096680.0,17993280.0,2103400.0
2025-04-22,20107080.0,17993280.0,2113800.0
2025-04-23,20083680.0,17993280.0,2090400.0
2025-04-24,20083680.0,17993280.0,2090400.0
2025-04-25,20029080.0,17993280.0,2035800.0
2025-04-28,20034280.0,17993280.0,2041000.0
2025-04-29,20026480.0,17993280.0,2033200.0
2025-04-30,20026480.0,17993280.0,2033200.0
2025-05-01,20026480.0,17993280.0,2033200.0
2025-05-02,20026480.0,17993280.0,2033200.0
2025-05-05,20047280.0,17993280.0,2054000.0
2025-05-06,20013480.0,17993280.0,2020200.0
2025-05-07,20013480.0,17993280.0,2020200.0
2025-05-08,20047280.0,17993280.0,2054000.0
2025-05-09,20060280.0,17993280.0,2067000.0
2025-05-12,20300780.0,13972900.0,6327880.0
2025-05-13,20319980.0,13972900.0,6347080.0
2025-05-14,20375960.0,16219760.0,4156200.0
2025-05-15,20426360.0,16219760.0,4206600.0
2025-05-16,20352960.0,16219760.0,4133200.0
2025-05-19,20436680.0,12168480.0,8268200.0
2025-05-20,20636280.0,12168480.0,8467800.0
2025-05-21,20802880.0,12168480.0,8634400.0
2025-05-22,20737020.0,12168480.0,8568540.0
2025-05-23,20734260.0,12168480.0,8565780.0
2025-05-26,20776600.0,12168480.0,8608120.0
2025-05-27,20848540.0,12168480.0,8680060.0
2025-05-28,20798460.0,12168480.0,8629980.0
2025-05-29,20771080.0,12168480.0,8602600.0
2025-05-30,20694440.0,12168480.0,8525960.0
2025-06-02,20889220.0,12168480.0,8720740.0
2025-06-03,21051000.0,16774240.0,4276760.0
2025-06-04,21007260.0,16774240.0,4233020.0
2025-06-05,21011780.0,16774240.0,4237540.0
2025-06-06,21039100.0,18972280.0,2066820.0
2025-06-09,21047080.0,18972280.0,2074800.0
2025-06-10,21042520.0,18972280.0,2070240.0
2025-06-11,21047080.0,18972280.0,2074800.0
2025-06-12,21085840.0,18972280.0,2113560.0
2025-06-13,21098380.0,18972280.0,2126100.0
2025-06-16,21168320.0,16865300.0,4303020.0
2025-06-17,21162600.0,16865300.0,4297300.0
2025-06-18,21143700.0,16865300.0,4278400.0
2025-06-19,21158120.0,16865300.0,4292820.0
2025-06-20,21220800.0,16865300.0,4355500.0
2025-06-23,21260180.0,16865300.0,4394880.0
2025-06-24,21256780.0,16865300.0,4391480.0
2025-06-25,21233960.0,16865300.0,4368660.0
2025-06-26,21243520.0,16865300.0,4378220.0
2025-06-27,21269940.0,16865300.0,4404640.0
2025-06-30,21364436.0,14743250.0,6621186.0
2025-07-01,21296650.0,14743250.0,6553400.0
2025-07-02,21401370.0,14743250.0,6658120.0
2025-07-03,21394100.0,14743250.0,6650850.0
2025-07-04,21408430.0,14743250.0,6665180.0
2025-07-07,21877270.0,10480590.0,11396680.0
2025-07-08,22014460.0,12758310.0,9256150.0
2025-07-09,22131020.0,15280630.0,6850390.0
2025-07-10,22108970.0,15280630.0,6828340.0
2025-07-11,22098760.0,15280630.0,6818130.0
2025-07-14,22368700.0,13072630.0,9296070.0
2025-07-15,22481830.0,17936490.0,4545340.0
2025-07-16,22573580.0,17936490.0,4637090.0
2025-07-17,22575770.0,17936490.0,4639280.0
2025-07-18,22585140.0,17936490.0,4648650.0
2025-07-21,22540840.0,17936490.0,4604350.0
2025-07-22,22671490.0,20388780.0,2282710.0
2025-07-23,22674410.0,20388780.0,2285630.0
2025-07-24,22676600.0,20388780.0,2287820.0
2025-07-25,22671490.0,20388780.0,2282710.0
2025-07-28,22671490.0,20388780.0,2282710.0
2025-07-29,22581700.0,20388780.0,2192920.0
2025-07-30,22734270.0,22734270.0,0
2025-07-31,22734270.0,22734270.0,0
2025-08-01,22734270.0,22734270.0,0
2025-08-04,22734270.0,22734270.0,0
2025-08-05,22734270.0,22734270.0,0
2025-08-06,22734270.0,22734270.0,0
2025-08-07,22734270.0,22734270.0,0
2025-08-08,22734270.0,22734270.0,0
2025-08-11,22734270.0,22734270.0,0
2025-08-12,22734270.0,22734270.0,0
2025-08-13,22734270.0,22734270.0,0
2025-08-14,22734270.0,22734270.0,0
2025-08-15,22734270.0,22734270.0,0
2025-08-18,22734270.0,22734270.0,0
2025-08-19,22734270.0,22734270.0,0
2025-08-20,22734270.0,22734270.0,0
2025-08-21,22734270.0,22734270.0,0
2025-08-22,22711870.0,20469070.0,2242800.0
2025-08-25,22711870.0,20469070.0,2242800.0
2025-08-26,22749870.0,20469070.0,2280800.0
2025-08-27,22780670.0,20469070.0,2311600.0
2025-08-28,22799870.0,20469070.0,2330800.0
2025-08-29,22773070.0,20469070.0,2304000.0
2025-09-01,22773070.0,20469070.0,2304000.0
2025-09-02,22773070.0,20469070.0,2304000.0
2025-09-03,22772820.0,18235720.0,4537100.0
2025-09-04,22784420.0,18235720.0,4548700.0
2025-09-05,22750020.0,18235720.0,4514300.0
2025-09-08,22738420.0,18235720.0,4502700.0
2025-09-09,22800685.0,18235720.0,4564965.0
2025-09-10,22811270.0,18235720.0,4575550.0
2025-09-11,22954120.0,18235720.0,4718400.0
2025-09-12,23062020.0,18235720.0,4826300.0
2025-09-15,23058020.0,18235720.0,4822300.0
2025-09-16,23039020.0,20676520.0,2362500.0
2025-09-17,23180770.0,20676520.0,2504250.0
2025-09-18,23214020.0,20676520.0,2537500.0
2025-09-19,23354020.0,23354020.0,0
2025-09-22,23354020.0,23354020.0,0
2025-09-23,23354020.0,23354020.0,0
2025-09-24,23354020.0,23354020.0,0
2025-09-25,23354020.0,23354020.0,0
2025-09-26,23354020.0,23354020.0,0
2025-09-29,23354020.0,23354020.0,0
2025-09-30,23354020.0,23354020.0,0
2025-10-01,23354020.0,23354020.0,0
2025-10-02,23354020.0,23354020.0,0
2025-10-03,23354020.0,23354020.0,0
2025-10-06,23354020.0,23354020.0,0
2025-10-07,23354020.0,23354020.0,0
2025-10-08,23354020.0,23354020.0,0
2025-10-09,23354020.0,23354020.0,0
2025-10-10,23354020.0,23354020.0,0
2025-10-13,23383700.0,16382900.0,7000800.0
2025-10-14,23282400.0,16382900.0,6899500.0
2025-10-15,23237700.0,16382900.0,6854800.0
2025-10-16,23275700.0,16382900.0,6892800.0
2025-10-17,23178100.0,16382900.0,6795200.0
2025-10-20,22635530.0,9557430.0,13078100.0
2025-10-21,22739330.0,9557430.0,13181900.0
