symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
TCB,2025-02-03,23790.0,2025-02-10,25560.0,TP,7.4401,148680.0
MBB,2025-02-03,16230.0,2025-02-10,17300.0,TP,6.5927,131610.0
TCB,2025-02-17,25160.0,2025-03-07,27020.0,TP,7.3927,148800.0
VCB,2025-02-24,61750.0,2025-03-10,64350.0,TP,4.2105,85800.0
VCB,2025-03-17,63350.0,2025-03-18,66550.0,TP,5.0513,102400.0
ACB,2025-02-10,21330.0,2025-04-04,20090.0,SL,-5.8134,-116560.0
STB,2025-02-17,38140.0,2025-04-04,34260.0,SL,-10.173,-205640.0
HPG,2025-03-03,22190.0,2025-04-04,20440.0,SL,-7.8864,-159250.0
HCM,2025-03-27,23780.0,2025-04-04,21340.0,SL,-10.2607,-212280.0
VCB,2025-04-03,63120.0,2025-04-04,59580.0,SL,-5.6084,-113280.0
TCB,2025-04-03,26080.0,2025-04-04,23830.0,SL,-8.6273,-177750.0
VCI,2025-04-03,36280.0,2025-04-09,32560.0,SL,-10.2536,-208320.0
VIX,2025-04-08,10880.0,2025-04-15,12370.0,TP,13.6949,268200.0
VND,2025-04-08,13450.0,2025-04-18,15320.0,TP,13.9033,271150.0
TCB,2025-05-12,25940.0,2025-05-14,29180.0,TP,12.4904,249480.0
VND,2025-05-12,14450.0,2025-06-03,16650.0,TP,15.2249,308000.0
TCB,2025-05-19,27310.0,2025-06-03,30740.0,TP,12.5595,253820.0
STB,2025-04-21,37890.0,2025-06-06,42270.0,TP,11.5598,227760.0
MBB,2025-05-19,17810.0,2025-07-08,19980.0,TP,12.1842,247380.0
VIX,2025-07-07,13110.0,2025-07-09,15380.0,TP,17.315,372280.0
MWG,2025-06-16,61970.0,2025-07-15,70190.0,TP,13.2645,279480.0
VCI,2025-07-14,36800.0,2025-07-15,41290.0,TP,12.2011,269400.0
VND,2025-06-30,16450.0,2025-07-22,19010.0,TP,15.5623,330240.0
CTG,2025-07-07,28940.0,2025-07-30,32130.0,TP,11.0228,232870.0
VNM,2025-08-22,56630.0,2025-09-16,61020.0,TP,7.7521,175600.0
VIC,2025-09-03,63810.0,2025-09-19,76500.0,TP,19.8872,444150.0
VNM,2025-10-20,56750.0,2025-11-14,62220.0,TP,9.6388,218800.0
VNM,2025-11-17,58560.0,2025-11-28,64360.0,TP,9.9044,220400.0
VHM,2025-10-20,108310.0,2025-12-25,128820.0,TP,18.9364,430710.0
MWG,2025-11-04,78590.0,2025-12-25,89290.0,TP,13.615,299600.0
VHM,2025-12-29,101600.0,2026-01-05,127430.0,TP,25.4232,594090.0
CTG,2025-12-08,34320.0,2026-01-08,38560.0,TP,12.3543,284080.0
MBB,2025-12-12,24090.0,2026-01-08,26910.0,TP,11.7061,267900.0
BID,2025-10-13,40290.0,2026-01-09,45340.0,TP,12.5341,292900.0
VCB,2025-10-13,62700.0,2026-01-12,69920.0,TP,11.5152,267140.0
CTG,2026-01-12,35990.0,2026-01-13,40840.0,TP,13.476,349200.0
VNM,2025-12-01,63360.0,2026-01-15,69730.0,TP,10.0537,229320.0
VNM,2026-01-19,63460.0,2026-01-20,71430.0,TP,12.5591,334740.0
MWG,2025-12-29,83080.0,2026-02-03,94010.0,TP,13.156,306040.0
VHM,2026-01-12,125830.0,2026-02-04,93620.0,SL,-25.598,-644200.0
MBB,2026-01-12,25330.0,2026-02-10,28420.0,TP,12.199,312090.0
