date,total_value,cash,open_positions_value
2025-03-03,20130560.0,15190160.0,4940400.0
2025-03-04,20105480.0,15190160.0,4915320.0
2025-03-05,20078480.0,15190160.0,4888320.0
2025-03-06,20126990.0,15190160.0,4936830.0
2025-03-07,20176970.0,15190160.0,4986810.0
2025-03-10,20228900.0,12775660.0,7453240.0
2025-03-11,20247260.0,12775660.0,7471600.0
2025-03-12,20242200.0,15323140.0,4919060.0
2025-03-13,20214880.0,15323140.0,4891740.0
2025-03-14,20192020.0,15323140.0,4868880.0
2025-03-17,20400340.0,12345690.0,8054650.0
2025-03-18,20363430.0,12345690.0,8017740.0
2025-03-19,20309210.0,12345690.0,7963520.0
2025-03-20,20317990.0,12345690.0,7972300.0
2025-03-21,20267143.0,12345690.0,7921453.0
2025-03-24,20313790.0,12345690.0,7968100.0
2025-03-25,20299590.0,12345690.0,7953900.0
2025-03-26,20298863.0,12345690.0,7953173.0
2025-03-27,20250020.0,9301850.0,10948170.0
2025-03-28,20209760.0,9301850.0,10907910.0
2025-03-31,20111950.0,9301850.0,10810100.0
2025-04-01,20192600.0,9301850.0,10890750.0
2025-04-02,20210520.0,9301850.0,10908670.0
2025-04-03,19413360.0,5434430.0,13978930.0
2025-04-04,19359800.0,13303390.0,6056410.0
2025-04-07,19359800.0,13303390.0,6056410.0
2025-04-08,18848870.0,8672550.0,10176320.0
2025-04-09,18410280.0,14182210.0,4228070.0
2025-04-10,18695750.0,14182210.0,4513540.0
2025-04-11,18996620.0,14182210.0,4814410.0
2025-04-14,19318870.0,14182210.0,5136660.0
2025-04-15,19239090.0,14182210.0,5056880.0
2025-04-16,19243670.0,14182210.0,5061460.0
2025-04-17,19295520.0,14182210.0,5113310.0
2025-04-18,19368750.0,14182210.0,5186540.0
2025-04-21,19470830.0,11302570.0,8168260.0
2025-04-22,19367910.0,11302570.0,8065340.0
2025-04-23,19361560.0,11302570.0,8058990.0
2025-04-24,19295210.0,11302570.0,7992640.0
2025-04-25,19163560.0,11302570.0,7860990.0
2025-04-28,19199010.0,11302570.0,7896440.0
2025-04-29,19131910.0,11302570.0,7829340.0
2025-04-30,19131910.0,11302570.0,7829340.0
2025-05-01,19131910.0,11302570.0,7829340.0
2025-05-02,19131910.0,11302570.0,7829340.0
2025-05-05,19307550.0,11302570.0,8004980.0
2025-05-06,19191800.0,11302570.0,7889230.0
2025-05-07,19146500.0,11302570.0,7843930.0
2025-05-08,19296900.0,11302570.0,7994330.0
2025-05-09,19333430.0,11302570.0,8030860.0
2025-05-12,19707750.0,8423230.0,11284520.0
2025-05-13,19783670.0,8423230.0,11360440.0
2025-05-14,19848990.0,8423230.0,11425760.0
2025-05-15,19976060.0,8423230.0,11552830.0
2025-05-16,19881520.0,11136850.0,8744670.0
2025-05-19,19867740.0,8162580.0,11705160.0
2025-05-20,20152460.0,8162580.0,11989880.0
2025-05-21,20388040.0,8162580.0,12225460.0
2025-05-22,20282730.0,8162580.0,12120150.0
2025-05-23,20280990.0,8162580.0,12118410.0
2025-05-26,20336960.0,8162580.0,12174380.0
2025-05-27,20444230.0,10878460.0,9565770.0
2025-05-28,20378890.0,10878460.0,9500430.0
2025-05-29,20419500.0,10878460.0,9541040.0
2025-05-30,20316680.0,10878460.0,9438220.0
2025-06-02,20473630.0,10878460.0,9595170.0
2025-06-03,20552820.0,10878460.0,9674360.0
2025-06-04,20462210.0,10878460.0,9583750.0
2025-06-05,20442130.0,10878460.0,9563670.0
2025-06-06,20355890.0,10878460.0,9477430.0
2025-06-09,20322840.0,10878460.0,9444380.0
2025-06-10,20420550.0,10878460.0,9542090.0
2025-06-11,20428980.0,10878460.0,9550520.0
2025-06-12,20741290.0,10878460.0,9862830.0
2025-06-13,20778700.0,10878460.0,9900240.0
2025-06-16,21046910.0,7779960.0,13266950.0
2025-06-17,21086540.0,7779960.0,13306580.0
2025-06-18,21203580.0,14923980.0,6279600.0
2025-06-19,21224760.0,14923980.0,6300780.0
2025-06-20,21316600.0,14923980.0,6392620.0
2025-06-23,21374460.0,14923980.0,6450480.0
2025-06-24,21369460.0,14923980.0,6445480.0
2025-06-25,21336050.0,14923980.0,6412070.0
2025-06-26,21349960.0,14923980.0,6425980.0
2025-06-27,21388910.0,14923980.0,6464930.0
2025-06-30,21531800.0,11716230.0,9815570.0
2025-07-01,21429900.0,11716230.0,9713670.0
2025-07-02,21587580.0,11716230.0,9871350.0
2025-07-03,21576140.0,11716230.0,9859910.0
2025-07-04,21596400.0,11716230.0,9880170.0
2025-07-07,22135030.0,8478060.0,13656970.0
2025-07-08,22311880.0,8478060.0,13833820.0
2025-07-09,22508980.0,8478060.0,14030920.0
2025-07-10,22469210.0,8478060.0,13991150.0
2025-07-11,22577190.0,8478060.0,14099130.0
2025-07-14,23013450.0,5092460.0,17920990.0
2025-07-15,23031800.0,5092460.0,17939340.0
2025-07-16,23502040.0,5092460.0,18409580.0
2025-07-17,23632270.0,9452010.0,14180260.0
2025-07-18,23745600.0,9452010.0,14293590.0
2025-07-21,23505690.0,9452010.0,14053680.0
2025-07-22,23835770.0,9452010.0,14383760.0
2025-07-23,23946450.0,9452010.0,14494440.0
2025-07-24,24111250.0,9452010.0,14659240.0
2025-07-25,24550270.0,9452010.0,15098260.0
2025-07-28,24845670.0,13656210.0,11189460.0
2025-07-29,24146260.0,13656210.0,10490050.0
2025-07-30,24246000.0,13656210.0,10589790.0
2025-07-31,24264970.0,13656210.0,10608760.0
2025-08-01,24350190.0,13656210.0,10693980.0
2025-08-04,24540420.0,13656210.0,10884210.0
2025-08-05,25032940.0,21567940.0,3465000.0
2025-08-06,25187940.0,21567940.0,3620000.0
2025-08-07,25187940.0,21567940.0,3620000.0
2025-08-08,25167940.0,21567940.0,3600000.0
2025-08-11,25172940.0,21567940.0,3605000.0
2025-08-12,25177940.0,21567940.0,3610000.0
2025-08-13,25112940.0,21567940.0,3545000.0
2025-08-14,25162940.0,21567940.0,3595000.0
2025-08-15,25092940.0,21567940.0,3525000.0
2025-08-18,25067940.0,21567940.0,3500000.0
2025-08-19,24967940.0,21567940.0,3400000.0
2025-08-20,25037940.0,21567940.0,3470000.0
2025-08-21,25117940.0,21567940.0,3550000.0
2025-08-22,25045980.0,17830360.0,7215620.0
2025-08-25,24970980.0,17830360.0,7140620.0
2025-08-26,25273680.0,17830360.0,7443320.0
2025-08-27,25394500.0,17830360.0,7564140.0
2025-08-28,25541180.0,17830360.0,7710820.0
2025-08-29,25531960.0,17830360.0,7701600.0
2025-09-01,25531960.0,17830360.0,7701600.0
2025-09-02,25531960.0,17830360.0,7701600.0
2025-09-03,25497200.0,17830360.0,7666840.0
2025-09-04,25601340.0,17830360.0,7770980.0
2025-09-05,25419580.0,17830360.0,7589220.0
2025-09-08,25350440.0,17830360.0,7520080.0
2025-09-09,25431960.0,17830360.0,7601600.0
2025-09-10,25375280.0,17830360.0,7544920.0
2025-09-11,25609220.0,21750860.0,3858360.0
2025-09-12,25735280.0,21750860.0,3984420.0
2025-09-15,25728680.0,21750860.0,3977820.0
2025-09-16,25829660.0,21750860.0,4078800.0
2025-09-17,25854740.0,21750860.0,4103880.0
2025-09-18,25760360.0,21750860.0,4009500.0
2025-09-19,25659380.0,21750860.0,3908520.0
2025-09-22,25621760.0,21750860.0,3870900.0
2025-09-23,25634300.0,21750860.0,3883440.0
2025-09-24,25659380.0,21750860.0,3908520.0
2025-09-25,25627700.0,21750860.0,3876840.0
2025-09-26,25602620.0,21750860.0,3851760.0
2025-09-29,25552460.0,21750860.0,3801600.0
2025-09-30,25533320.0,21750860.0,3782460.0
2025-10-01,25665980.0,21750860.0,3915120.0
2025-10-02,25609220.0,21750860.0,3858360.0
2025-10-03,25615160.0,21750860.0,3864300.0
2025-10-06,25684460.0,21750860.0,3933600.0
2025-10-07,25621760.0,21750860.0,3870900.0
2025-10-08,25747820.0,21750860.0,3996960.0
2025-10-09,25716140.0,21750860.0,3965280.0
2025-10-10,25684460.0,21750860.0,3933600.0
2025-10-13,25785440.0,21750860.0,4034580.0
2025-10-14,25753760.0,21750860.0,4002900.0
2025-10-15,25760360.0,21750860.0,4009500.0
2025-10-16,25817460.0,17908010.0,7909450.0
2025-10-17,25624810.0,17908010.0,7716800.0
2025-10-20,24979910.0,10315560.0,14664350.0
2025-10-21,25107660.0,10315560.0,14792100.0
2025-10-22,25199260.0,10315560.0,14883700.0
2025-10-23,25225660.0,10315560.0,14910100.0
2025-10-24,25342960.0,10315560.0,15027400.0
2025-10-27,24933810.0,10315560.0,14618250.0
2025-10-28,25075560.0,10315560.0,14760000.0
2025-10-29,25040810.0,10315560.0,14725250.0
2025-10-30,24977960.0,10315560.0,14662400.0
2025-10-31,24829060.0,10315560.0,14513500.0
2025-11-03,24578710.0,10315560.0,14263150.0
2025-11-04,25016770.0,6700420.0,18316350.0
2025-11-05,24915720.0,6700420.0,18215300.0
2025-11-06,24805420.0,6700420.0,18105000.0
2025-11-07,24265870.0,6700420.0,17565450.0
2025-11-10,24183620.0,9845170.0,14338450.0
2025-11-11,24483770.0,9845170.0,14638600.0
2025-11-12,24757970.0,9845170.0,14912800.0
2025-11-13,24800920.0,9845170.0,14955750.0
2025-11-14,24929670.0,9845170.0,15084500.0
2025-11-17,25060770.0,9845170.0,15215600.0
2025-11-18,24991870.0,9845170.0,15146700.0
2025-11-19,24982170.0,9845170.0,15137000.0
2025-11-20,24843120.0,9845170.0,14997950.0
2025-11-21,24719870.0,9845170.0,14874700.0
2025-11-24,24864670.0,9845170.0,15019500.0
2025-11-25,24691870.0,9845170.0,14846700.0
2025-11-26,24928870.0,9845170.0,15083700.0
2025-11-27,24834970.0,9845170.0,14989800.0
2025-11-28,24864920.0,9845170.0,15019750.0
2025-12-01,25018730.0,14162230.0,10856500.0
2025-12-02,25009730.0,14162230.0,10847500.0
2025-12-03,25357030.0,14162230.0,11194800.0
2025-12-04,25444630.0,14162230.0,11282400.0
2025-12-05,25294830.0,14162230.0,11132600.0
2025-12-08,25348980.0,10387030.0,14961950.0
2025-12-09,25143230.0,10387030.0,14756200.0
2025-12-10,25162280.0,10387030.0,14775250.0
2025-12-11,25045080.0,10387030.0,14658050.0
2025-12-12,24567150.0,2930250.0,21636900.0
2025-12-15,24651050.0,2930250.0,21720800.0
2025-12-16,25297200.0,2930250.0,22366950.0
2025-12-17,25080350.0,2930250.0,22150100.0
2025-12-18,25127800.0,2930250.0,22197550.0
2025-12-19,25334550.0,2930250.0,22404300.0
2025-12-22,25581000.0,2930250.0,22650750.0
2025-12-23,25603600.0,2930250.0,22673350.0
2025-12-24,25600600.0,2930250.0,22670350.0
2025-12-25,25380300.0,2930250.0,22450050.0
2025-12-26,25481300.0,2930250.0,22551050.0
2025-12-29,25515100.0,2930250.0,22584850.0
2025-12-30,25658550.0,2930250.0,22728300.0
2025-12-31,25665650.0,2930250.0,22735400.0
2026-01-01,25665650.0,2930250.0,22735400.0
2026-01-02,25665650.0,2930250.0,22735400.0
