symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
VCB,2025-03-03,61880.0,2025-03-12,65320.0,TP,5.5591,134160.0
ACB,2025-03-10,21950.0,2025-04-03,21120.0,SL,-3.7813,-91300.0
VCB,2025-03-17,63350.0,2025-04-03,60470.0,SL,-4.5462,-135360.0
HPG,2025-03-03,22190.0,2025-04-04,21000.0,SL,-5.3628,-128520.0
HCM,2025-03-27,23780.0,2025-04-04,21790.0,SL,-8.3684,-254720.0
TCB,2025-04-03,26080.0,2025-04-04,24240.0,SL,-7.0552,-213440.0
STB,2025-04-03,36990.0,2025-04-09,33970.0,SL,-8.1644,-244620.0
VCI,2025-04-03,36280.0,2025-04-09,33230.0,SL,-8.4068,-253150.0
VIX,2025-04-08,10880.0,2025-05-16,12740.0,TP,17.0956,396180.0
VND,2025-04-08,13450.0,2025-05-27,15790.0,TP,17.3978,402480.0
STB,2025-04-21,37890.0,2025-06-18,46650.0,TP,23.1196,665760.0
TCB,2025-05-12,25940.0,2025-06-18,32420.0,TP,24.9807,719280.0
VIX,2025-07-07,13110.0,2025-07-17,17650.0,TP,34.6301,1121380.0
VND,2025-06-30,16450.0,2025-07-28,21560.0,TP,31.0638,996450.0
MBB,2025-05-19,17810.0,2025-08-05,22150.0,TP,24.3683,724780.0
VCI,2025-07-14,36800.0,2025-08-05,45790.0,TP,24.4293,827080.0
MWG,2025-06-16,61970.0,2025-09-11,78410.0,TP,26.529,822000.0
VHM,2025-10-20,108310.0,2025-11-10,89850.0,SL,-17.0437,-646100.0
VNM,2025-08-22,56630.0,2025-12-01,65410.0,TP,15.5041,579480.0
CTG,2025-12-08,34320.0,2026-01-12,42810.0,TP,24.7378,933900.0
VNM,2025-12-12,61030.0,2026-01-20,73670.0,TP,20.7111,771040.0
VHM,2026-01-13,125830.0,2026-02-02,99470.0,SL,-20.9489,-843520.0
