date,total_value,cash,open_positions_value
2024-09-02,10000000.0,10000000.0,0
2024-09-03,10000000.0,10000000.0,0
2024-09-04,10000000.0,10000000.0,0
2024-09-05,10001904.0,9001584.0,1000320.0
2024-09-06,10019629.43,8011789.42,2007840.0
2024-09-09,10010209.43,8011789.42,1998420.0
2024-09-10,10006389.43,8011789.42,1994600.0
2024-09-11,10012789.43,8011789.42,2001000.0
2024-09-12,10012129.43,8011789.42,2000340.0
2024-09-13,10003939.43,8011789.42,1992150.0
2024-09-16,9987589.43,8011789.42,1975800.0
2024-09-17,10012659.43,8011789.42,2000870.0
2024-09-18,10039759.43,8011789.42,2027970.0
2024-09-19,10039759.43,8011789.42,2027970.0
2024-09-20,10050925.43,8011789.42,2039136.0
2024-09-23,10043199.43,8011789.42,2031410.0
2024-09-24,10073459.43,8011789.42,2061670.0
2024-09-25,10103579.43,8011789.42,2091790.0
2024-09-26,10095659.43,8011789.42,2083870.0
2024-09-27,10083809.43,8011789.42,2072020.0
2024-09-30,10092659.43,8011789.42,2080870.0
2024-10-01,10085749.43,8011789.42,2073960.0
2024-10-02,10082309.43,8011789.42,2070520.0
2024-10-03,10057149.43,8011789.42,2045360.0
2024-10-04,10033499.9,7062708.9,2970791.0
2024-10-07,10016568.9,7062708.9,2953860.0
2024-10-08,10015518.9,7062708.9,2952810.0
2024-10-09,10012398.9,7062708.9,2949690.0
2024-10-10,10018268.9,7062708.9,2955560.0
2024-10-11,10013478.9,7062708.9,2950770.0
2024-10-14,10005538.9,7062708.9,2942830.0
2024-10-15,10003518.9,7062708.9,2940810.0
2024-10-16,10023053.9,7062708.9,2960345.0
2024-10-17,10045708.9,7062708.9,2983000.0
2024-10-18,10035583.9,7062708.9,2972875.0
2024-10-21,10027428.9,7062708.9,2964720.0
2024-10-22,10021978.9,7062708.9,2959270.0
2024-10-23,10013113.9,7062708.9,2950405.0
2024-10-24,10004412.89,6075812.89,3928600.0
2024-10-25,9991273.89,6075812.89,3915461.0
2024-10-28,9993877.89,6075812.89,3918065.0
2024-10-29,10018662.89,6075812.89,3942850.0
2024-10-30,9999438.28,5116918.28,4882520.0
2024-10-31,10009908.28,5116918.28,4892990.0
2024-11-01,9970838.28,5116918.28,4853920.0
2024-11-04,9938278.28,5116918.28,4821360.0
2024-11-05,9944428.28,5116918.28,4827510.0
2024-11-06,9985124.28,5116918.28,4868206.0
2024-11-07,9976018.28,5116918.28,4859100.0
2024-11-08,9914068.28,5116918.28,4797150.0
2024-11-11,9858194.98,6005904.98,3852290.0
2024-11-12,9804404.98,6005904.98,3798500.0
2024-11-13,9826394.98,6005904.98,3820490.0
2024-11-14,9789994.98,6005904.98,3784090.0
2024-11-15,9744150.18,6896870.18,2847280.0
2024-11-18,9752960.18,6896870.18,2856090.0
2024-11-19,9772770.18,6896870.18,2875900.0
2024-11-20,9833630.18,6896870.18,2936760.0
2024-11-21,9866810.18,6896870.18,2969940.0
2024-11-22,9840180.18,6896870.18,2943310.0
2024-11-25,9863560.18,6896870.18,2966690.0
2024-11-26,9865210.18,6896870.18,2968340.0
2024-11-27,9851560.18,6896870.18,2954690.0
2024-11-28,9832980.18,6896870.18,2936110.0
2024-11-29,9832480.18,6896870.18,2935610.0
