date,total_value,cash,open_positions_value
2025-05-01,10000000.0,10000000.0,0
2025-05-02,10000000.0,10000000.0,0
2025-05-05,10000000.0,10000000.0,0
2025-05-06,10000000.0,10000000.0,0
2025-05-07,10000000.0,10000000.0,0
2025-05-08,10000000.0,10000000.0,0
2025-05-09,10000000.0,10000000.0,0
2025-05-12,10000000.0,10000000.0,0
2025-05-13,10000000.0,10000000.0,0
2025-05-14,10000000.0,10000000.0,0
2025-05-15,10000000.0,10000000.0,0
2025-05-16,10000000.0,10000000.0,0
2025-05-19,10000000.0,10000000.0,0
2025-05-20,10000000.0,10000000.0,0
2025-05-21,10000000.0,10000000.0,0
2025-05-22,10000000.0,10000000.0,0
2025-05-23,10000000.0,10000000.0,0
2025-05-26,10000000.0,10000000.0,0
2025-05-27,10000000.0,10000000.0,0
2025-05-28,10000000.0,10000000.0,0
2025-05-29,10000000.0,10000000.0,0
2025-05-30,10000000.0,10000000.0,0
2025-06-02,10000000.0,10000000.0,0
2025-06-03,10000000.0,10000000.0,0
2025-06-04,10000000.0,10000000.0,0
2025-06-05,10000000.0,10000000.0,0
2025-06-06,10000000.0,10000000.0,0
2025-06-09,10000000.0,10000000.0,0
2025-06-10,10000000.0,10000000.0,0
2025-06-11,10000000.0,10000000.0,0
2025-06-12,10000000.0,10000000.0,0
2025-06-13,10000000.0,10000000.0,0
2025-06-16,10000000.0,10000000.0,0
2025-06-17,10000000.0,10000000.0,0
2025-06-18,10000000.0,10000000.0,0
2025-06-19,10000000.0,10000000.0,0
2025-06-20,10000000.0,10000000.0,0
2025-06-23,10000000.0,10000000.0,0
2025-06-24,10000000.0,10000000.0,0
2025-06-25,10000000.0,10000000.0,0
2025-06-26,10000000.0,10000000.0,0
2025-06-27,10000000.0,10000000.0,0
2025-06-30,10000000.0,10000000.0,0
2025-07-01,10000000.0,10000000.0,0
2025-07-02,10000000.0,10000000.0,0
2025-07-03,10000000.0,10000000.0,0
2025-07-04,10000000.0,10000000.0,0
2025-07-07,10000000.0,10000000.0,0
2025-07-08,10000000.0,10000000.0,0
2025-07-09,10000000.0,10000000.0,0
2025-07-10,10000000.0,10000000.0,0
2025-07-11,10000000.0,10000000.0,0
2025-07-14,10000000.0,10000000.0,0
2025-07-15,10000000.0,10000000.0,0
