symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
ACB,2025-03-11,21853.215,2025-04-03,20880.72,SL,-4.4501,-88497.04
VCB,2025-04-03,63122.445,2025-04-04,60304.82,SL,-4.4637,-87346.38
TCB,2025-04-03,26071.25,2025-04-04,24277.5,SL,-6.8802,-136325.0
VIX,2025-04-08,10871.25,2025-05-21,12920.0,TP,18.8456,370823.75
VNM,2025-08-22,56623.75,2025-09-17,62660.0,TP,10.6603,211268.75
VHM,2025-10-20,108307.14499999999,2025-11-10,90357.15,SL,-16.5732,-323099.91
VNM,2025-10-20,56747.68,2025-11-28,64272.86,TP,13.2608,263381.3
VHM,2025-12-12,99307.14499999999,2025-12-25,127514.29,TP,28.4039,564142.9
MBB,2025-12-12,24091.965,2026-01-12,27971.43,TP,16.1027,321995.59
VNM,2025-12-12,61030.535,2026-01-15,69718.57,TP,14.2356,286705.16
VHM,2026-01-13,129017.85500000001,2026-01-28,103392.85,SL,-19.8616,-410000.08
MWG,2025-11-04,78587.5,2026-01-30,93300.0,TP,18.7212,367812.5
