symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
TCB,2025-02-03,23793.77,2025-02-10,25566.63,TP,7.4509,148920.24
MBB,2025-02-03,16226.21,2025-02-10,17300.5,TP,6.6207,132137.67
TCB,2025-02-17,25155.13,2025-03-07,27010.84,TP,7.3771,148456.8
VCB,2025-02-24,61751.69,2025-03-10,64353.12,TP,4.2127,85847.19
VCB,2025-03-17,63353.29,2025-03-18,66557.58,TP,5.0578,102537.28
ACB,2025-02-10,21331.31,2025-04-04,20088.31,SL,-5.8271,-116842.0
STB,2025-02-17,38138.1,2025-04-04,34256.67,SL,-10.1773,-205715.79
HPG,2025-03-03,22192.17,2025-04-04,20444.74,SL,-7.8741,-159016.13
HCM,2025-03-27,23779.65,2025-04-04,21343.94,SL,-10.2428,-211906.77
VCB,2025-04-03,63122.44,2025-04-04,59580.28,SL,-5.6116,-113349.12
TCB,2025-04-03,26071.25,2025-04-04,23816.25,SL,-8.6494,-178145.0
VCI,2025-04-03,36280.9,2025-04-09,32558.19,SL,-10.2608,-208471.76
VIX,2025-04-08,10871.25,2025-04-15,12361.25,TP,13.7059,268200.0
VND,2025-04-08,13447.15,2025-04-18,15321.44,TP,13.9382,271772.05
TCB,2025-05-12,25935.91,2025-05-14,29177.34,TP,12.4978,249590.11
VND,2025-05-12,14454.44,2025-06-03,16653.01,TP,15.2103,307799.8
TCB,2025-05-19,27307.28,2025-06-03,30735.85,TP,12.5555,253714.18
STB,2025-04-21,37887.85,2025-06-06,42266.42,TP,11.5567,227685.64
MBB,2025-05-19,17807.79,2025-07-08,19976.36,TP,12.1776,247216.98
VIX,2025-07-07,13113.1,2025-07-09,15384.53,TP,17.3218,372514.52
MWG,2025-06-16,61971.91,2025-07-15,70190.34,TP,13.2615,279426.62
VCI,2025-07-14,36796.76,2025-07-15,41289.62,TP,12.2099,269571.6
VND,2025-06-30,16446.43,2025-07-22,19002.14,TP,15.5396,329686.59
CTG,2025-07-07,28938.91,2025-07-30,32127.48,TP,11.0183,232765.61
VNM,2025-08-22,56623.75,2025-09-16,61013.75,TP,7.7529,175600.0
VIC,2025-09-03,63813.75,2025-09-19,76499.46,TP,19.8793,443999.85
VNM,2025-10-20,56747.68,2025-11-14,62220.54,TP,9.6442,218914.4
VNM,2025-11-17,58558.5,2025-11-28,64355.64,TP,9.8997,220291.32
VHM,2025-10-20,108307.14,2025-12-25,128821.43,TP,18.9408,430800.09
MWG,2025-11-04,78587.5,2025-12-25,89287.5,TP,13.6154,299600.0
VHM,2025-12-29,101601.5,2026-01-05,127430.07,TP,25.4214,594057.11
CTG,2025-12-08,34324.29,2026-01-08,38568.58,TP,12.3653,284367.43
MBB,2025-12-12,24091.97,2026-01-08,26913.4,TP,11.7111,268035.85
BID,2025-10-13,40290.25,2026-01-09,45337.39,TP,12.527,292734.12
VCB,2025-10-13,62702.64,2026-01-12,69924.07,TP,11.5169,267192.91
CTG,2026-01-12,35985.95,2026-01-13,40837.38,TP,13.4815,349302.96
VNM,2025-12-01,63363.3,2026-01-15,69733.3,TP,10.0531,229320.0
VNM,2026-01-19,63463.4,2026-01-20,71436.11,TP,12.5627,334853.82
MWG,2025-12-29,83083.0,2026-02-03,94011.57,TP,13.1538,305999.96
VHM,2026-01-12,125825.7,2026-02-04,93611.41,SL,-25.6023,-644285.8
MBB,2026-01-12,25325.3,2026-02-10,28418.16,TP,12.2125,312378.86
