date,total_value,cash,open_positions_value
2025-03-03,20160830.0,14031800.0,6129030.0
2025-03-04,20129630.0,14031800.0,6097830.0
2025-03-05,20095880.0,14031800.0,6064080.0
2025-03-06,20156270.0,14031800.0,6124470.0
2025-03-07,20217950.0,14031800.0,6186150.0
2025-03-10,20282090.0,11002700.0,9279390.0
2025-03-11,20305040.0,11002700.0,9302340.0
2025-03-12,20296910.0,14137100.0,6159810.0
2025-03-13,20262680.0,14137100.0,6125580.0
2025-03-14,20234060.0,14137100.0,6096960.0
2025-03-17,20451540.0,11157300.0,9294240.0
2025-03-18,20411200.0,11157300.0,9253900.0
2025-03-19,20346910.0,11157300.0,9189610.0
2025-03-20,20354380.0,11157300.0,9197080.0
2025-03-21,20300173.0,11157300.0,9142873.0
2025-03-24,20352700.0,11157300.0,9195400.0
2025-03-25,20338450.0,11157300.0,9181150.0
2025-03-26,20342193.0,11157300.0,9184893.0
2025-03-27,20286820.0,8229900.0,12056920.0
2025-03-28,20236190.0,8229900.0,12006290.0
2025-03-31,20131740.0,8229900.0,11901840.0
2025-04-01,20218310.0,8229900.0,11988410.0
2025-04-02,20239730.0,8229900.0,12009830.0
2025-04-03,19453230.0,10745550.0,8707680.0
2025-04-04,19201270.0,16429550.0,2771720.0
2025-04-07,19201270.0,16429550.0,2771720.0
2025-04-08,18933010.0,12703750.0,6229260.0
2025-04-09,18667410.0,15268750.0,3398660.0
2025-04-10,18896870.0,15268750.0,3628120.0
2025-04-11,19138730.0,15268750.0,3869980.0
2025-04-14,19397830.0,15268750.0,4129080.0
2025-04-15,19334190.0,15268750.0,4065440.0
2025-04-16,19337030.0,15268750.0,4068280.0
2025-04-17,19378530.0,15268750.0,4109780.0
2025-04-18,19437270.0,15268750.0,4168520.0
2025-04-21,19510930.0,13070550.0,6440380.0
2025-04-22,19427570.0,13070550.0,6357020.0
2025-04-23,19423770.0,13070550.0,6353220.0
2025-04-24,19370470.0,13070550.0,6299920.0
2025-04-25,19268070.0,13070550.0,6197520.0
2025-04-28,19296170.0,13070550.0,6225620.0
2025-04-29,19242870.0,13070550.0,6172320.0
2025-04-30,19242870.0,13070550.0,6172320.0
2025-05-01,19242870.0,13070550.0,6172320.0
2025-05-02,19242870.0,13070550.0,6172320.0
2025-05-05,19383590.0,13070550.0,6313040.0
2025-05-06,19292590.0,13070550.0,6222040.0
2025-05-07,19255990.0,13070550.0,6185440.0
2025-05-08,19374890.0,13070550.0,6304340.0
2025-05-09,19403530.0,13070550.0,6332980.0
2025-05-12,19675300.0,11020500.0,8654800.0
2025-05-13,19736460.0,11020500.0,8715960.0
2025-05-14,19784460.0,11020500.0,8763960.0
2025-05-15,19884370.0,11020500.0,8863870.0
2025-05-16,19818550.0,13239000.0,6579550.0
2025-05-19,19802260.0,11103000.0,8699260.0
2025-05-20,19999840.0,13473000.0,6526840.0
2025-05-21,20183880.0,13473000.0,6710880.0
2025-05-22,20139920.0,13473000.0,6666920.0
2025-05-23,20166920.0,13473000.0,6693920.0
2025-05-26,20192820.0,13473000.0,6719820.0
2025-05-27,20258400.0,15621800.0,4636600.0
2025-05-28,20217900.0,15621800.0,4596100.0
2025-05-29,20224000.0,15621800.0,4602200.0
2025-05-30,20176000.0,15621800.0,4554200.0
2025-06-02,20261400.0,15621800.0,4639600.0
2025-06-03,20259400.0,15621800.0,4637600.0
2025-06-04,20211400.0,15621800.0,4589600.0
2025-06-05,20217300.0,15621800.0,4595500.0
2025-06-06,20218900.0,15621800.0,4597100.0
2025-06-09,20238900.0,15621800.0,4617100.0
2025-06-10,20315300.0,18136100.0,2179200.0
2025-06-11,20320100.0,18136100.0,2184000.0
2025-06-12,20360900.0,18136100.0,2224800.0
2025-06-13,20374100.0,18136100.0,2238000.0
2025-06-16,20441380.0,16152100.0,4289280.0
2025-06-17,20434980.0,16152100.0,4282880.0
2025-06-18,20417700.0,16152100.0,4265600.0
2025-06-19,20431780.0,16152100.0,4279680.0
2025-06-20,20497380.0,16152100.0,4345280.0
2025-06-23,20535460.0,16152100.0,4383360.0
2025-06-24,20532260.0,16152100.0,4380160.0
2025-06-25,20507860.0,16152100.0,4355760.0
2025-06-26,20519780.0,16152100.0,4367680.0
