symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
VCB,2025-03-03,61900.0,2025-03-12,65300.0,TP,5.4927,163200.0
ACB,2025-03-10,21950.0,2025-04-03,21100.0,SL,-3.8724,-117300.0
VCB,2025-03-17,63400.0,2025-04-03,61000.0,SL,-3.7855,-112800.0
HCM,2025-03-27,23800.0,2025-04-03,22150.0,SL,-6.9328,-202950.0
HPG,2025-03-03,22200.0,2025-04-04,21000.0,SL,-5.4054,-162000.0
TCB,2025-04-03,26100.0,2025-04-04,24550.0,SL,-5.9387,-179800.0
STB,2025-04-03,37000.0,2025-04-04,34500.0,SL,-6.7568,-200000.0
VCI,2025-04-04,36300.0,2025-04-09,33750.0,SL,-7.0248,-193800.0
VIX,2025-04-08,10900.0,2025-05-16,12750.0,TP,16.9725,321900.0
TCB,2025-05-12,25950.0,2025-05-20,30000.0,TP,15.6069,319950.0
VND,2025-04-08,13450.0,2025-05-27,15800.0,TP,17.4721,319600.0
STB,2025-04-21,37900.0,2025-06-10,43350.0,TP,14.3799,316100.0
VIX,2025-07-07,13100.0,2025-07-09,15950.0,TP,21.7557,344850.0
VCI,2025-07-14,36800.0,2025-07-15,42400.0,TP,15.2174,352800.0
MBB,2025-05-19,17800.0,2025-07-21,20500.0,TP,15.1685,324000.0
VND,2025-06-30,16450.0,2025-07-23,19650.0,TP,19.4529,345600.0
MWG,2025-06-16,62000.0,2025-08-06,72300.0,TP,16.6129,329600.0
VNM,2025-08-22,56700.0,2025-09-16,62200.0,TP,9.7002,319000.0
MSN,2025-10-20,84500.0,2025-11-04,74900.0,SL,-11.3609,-220800.0
VHM,2025-10-20,108300.0,2025-11-07,92900.0,SL,-14.2198,-215600.0
VNM,2025-10-20,56800.0,2025-11-28,63600.0,TP,11.9718,367200.0
VHM,2025-12-12,99300.0,2025-12-25,124900.0,TP,25.7805,358400.0
GAS,2025-12-29,64900.0,2025-12-30,73000.0,TP,12.4807,380700.0
VHM,2025-12-29,101600.0,2026-01-06,133900.0,TP,31.7913,355300.0
CTG,2025-12-08,34300.0,2026-01-09,39600.0,TP,15.4519,365700.0
MBB,2025-12-12,24100.0,2026-01-09,27650.0,TP,14.7303,372750.0
CTG,2026-01-12,36000.0,2026-01-13,42050.0,TP,16.8056,399300.0
VNM,2025-12-01,63400.0,2026-01-15,71400.0,TP,12.6183,368000.0
VNM,2026-01-19,63500.0,2026-01-20,73500.0,TP,15.748,410000.0
VHM,2026-01-12,125800.0,2026-01-28,103800.0,SL,-17.4881,-242000.0
MWG,2025-11-04,78600.0,2026-01-30,92000.0,TP,17.0483,361800.0
VRE,2026-01-12,34000.0,2026-02-04,27100.0,SL,-20.2941,-241500.0
MBB,2026-01-12,25350.0,2026-02-11,29200.0,TP,15.1874,400400.0
