symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
TCB,2025-02-03,23800.0,2025-04-08,23330.0,REDUCE,-1.9748,-29610.0
MBB,2025-02-03,16250.0,2025-04-08,15690.0,REDUCE,-3.4462,-51520.0
STB,2025-02-17,38150.0,2025-04-08,34800.0,REDUCE,-8.7811,-127300.0
HPG,2025-03-03,22200.0,2025-04-08,19080.0,SELL,-14.0541,-430560.0
VCB,2025-02-24,61800.0,2025-04-08,55400.0,SELL,-10.356,-313600.0
ACB,2025-02-10,21350.0,2025-04-08,18510.0,SELL,-13.3021,-403280.0
TCB,2025-02-03,23800.0,2025-04-09,22990.0,REDUCE,-3.4034,-25110.0
MBB,2025-02-03,16250.0,2025-04-09,15500.0,REDUCE,-4.6154,-34500.0
STB,2025-02-17,38150.0,2025-04-09,33100.0,REDUCE,-13.2372,-95950.0
TCB,2025-02-03,23800.0,2025-04-10,24600.0,REDUCE,3.3613,12800.0
MBB,2025-02-03,16250.0,2025-04-10,16550.0,REDUCE,1.8462,6900.0
STB,2025-02-17,38150.0,2025-04-10,35400.0,REDUCE,-7.2084,-24750.0
TCB,2025-02-03,23800.0,2025-04-11,25910.0,REDUCE,8.8655,16880.0
MBB,2025-02-03,16250.0,2025-04-11,17600.0,REDUCE,8.3077,14850.0
STB,2025-02-17,38150.0,2025-04-11,37850.0,REDUCE,-0.7864,-1500.0
TCB,2025-02-03,23800.0,2025-04-14,25860.0,REDUCE,8.6555,8240.0
STB,2025-02-17,38150.0,2025-04-14,37800.0,REDUCE,-0.9174,-700.0
VCI,2025-04-11,34950.0,2025-04-14,36760.0,REDUCE,5.1788,54300.0
TCB,2025-02-03,23800.0,2025-04-15,25330.0,REDUCE,6.4286,3060.0
STB,2025-02-17,38150.0,2025-04-15,38450.0,REDUCE,0.7864,300.0
VCI,2025-04-11,34950.0,2025-04-15,35970.0,REDUCE,2.9185,15300.0
TCB,2025-02-03,23800.0,2025-04-16,25130.0,REDUCE,5.5882,1330.0
STB,2025-02-17,38150.0,2025-04-16,38150.0,REDUCE,0.0,0.0
VCI,2025-04-11,34950.0,2025-04-16,36270.0,REDUCE,3.7768,9240.0
VCI,2025-04-11,34950.0,2025-04-17,37060.0,REDUCE,6.0372,8440.0
VCI,2025-04-11,34950.0,2025-04-18,36520.0,REDUCE,4.4921,3140.0
MBB,2025-02-03,16250.0,2025-04-21,17230.0,REDUCE,6.0308,5880.0
VCI,2025-04-11,34950.0,2025-04-21,35180.0,REDUCE,0.6581,230.0
MBB,2025-02-03,16250.0,2025-04-22,17340.0,REDUCE,6.7077,3270.0
MBB,2025-02-03,16250.0,2025-04-23,17560.0,REDUCE,8.0615,1310.0
MBB,2025-02-03,16250.0,2025-04-24,17450.0,REDUCE,7.3846,1200.0
VIX,2025-04-08,10900.0,2025-04-28,11480.0,REDUCE,5.3211,51620.0
VIX,2025-04-08,10900.0,2025-04-29,11380.0,REDUCE,4.4037,21120.0
VIX,2025-04-08,10900.0,2025-05-05,11860.0,REDUCE,8.8073,21120.0
VND,2025-04-11,13450.0,2025-05-05,14400.0,REDUCE,7.0632,61750.0
VIX,2025-04-08,10900.0,2025-05-06,11710.0,REDUCE,7.4312,8910.0
VND,2025-04-11,13450.0,2025-05-06,14200.0,REDUCE,5.5762,24750.0
