date,total_value,cash,open_positions_value
2025-02-03,20032520.0,14011200.0,6021320.0
2025-02-04,20136860.0,14011200.0,6125660.0
2025-02-05,20150520.0,14011200.0,6139320.0
2025-02-06,20225140.0,14011200.0,6213940.0
2025-02-07,20315260.0,14011200.0,6304060.0
2025-02-10,20365320.0,10979500.0,9385820.0
2025-02-11,20401520.0,10979500.0,9422020.0
2025-02-12,20312960.0,10979500.0,9333460.0
2025-02-13,20376480.0,10979500.0,9396980.0
2025-02-14,20381100.0,10979500.0,9401600.0
2025-02-17,20335460.0,8080100.0,12255360.0
2025-02-18,20379960.0,8080100.0,12299860.0
2025-02-19,20446400.0,8080100.0,12366300.0
2025-02-20,20517620.0,8080100.0,12437520.0
2025-02-21,20557360.0,8080100.0,12477260.0
2025-02-24,20620570.0,5051900.0,15568670.0
2025-02-25,20646550.0,11566300.0,9080250.0
2025-02-26,20577870.0,11566300.0,9011570.0
2025-02-27,20632700.0,11566300.0,9066400.0
2025-02-28,20593580.0,11566300.0,9027280.0
2025-03-03,20801810.0,8480500.0,12321310.0
2025-03-04,20814830.0,8480500.0,12334330.0
2025-03-05,20749680.0,8480500.0,12269180.0
2025-03-06,20894740.0,8480500.0,12414240.0
2025-03-07,21006620.0,8480500.0,12526120.0
2025-03-10,21045730.0,8480500.0,12565230.0
2025-03-11,21061760.0,8480500.0,12581260.0
2025-03-12,21031770.0,11670400.0,9361370.0
2025-03-13,20939540.0,11670400.0,9269140.0
2025-03-14,20898680.0,11670400.0,9228280.0
2025-03-17,21124660.0,8563800.0,12560860.0
2025-03-18,21048620.0,8563800.0,12484820.0
2025-03-19,20982250.0,8563800.0,12418450.0
2025-03-20,21028120.0,8563800.0,12464320.0
2025-03-21,20952831.0,8563800.0,12389031.0
2025-03-24,21003400.0,8563800.0,12439600.0
2025-03-25,20992350.0,8563800.0,12428550.0
2025-03-26,20992171.0,8563800.0,12428371.0
2025-03-27,20908340.0,5541200.0,15367140.0
2025-03-28,20855870.0,5541200.0,15314670.0
2025-03-31,20751560.0,5541200.0,15210360.0
2025-04-01,20947470.0,5541200.0,15406270.0
2025-04-02,20935490.0,5541200.0,15394290.0
2025-04-03,19869330.0,11122250.0,8747080.0
2025-04-04,19698340.0,16890150.0,2808190.0
2025-04-07,19698340.0,16890150.0,2808190.0
2025-04-08,19425330.0,13056050.0,6369280.0
2025-04-09,19152250.0,15654800.0,3497450.0
2025-04-10,19388380.0,15654800.0,3733580.0
2025-04-11,19637270.0,15654800.0,3982470.0
